question,answer_text,distractor
Which of the following is TRUE ?,All efforts made by the man from the country are in vain .,"'All commitments made by the man from the country are in vain .', 'All efforts aquired by the man from the country are in vain .'"
Which of the following statements is NOT true according to the passage ?,Attention should be paid to saving food instead of producing food,"'care should be paid to saving food instead of producing food', 'Attention should been paid to saving food instead of producing food'"
What can we learn from the passage ?,People should make right decisions when in trouble .,"'citizenry should make right decisions when in trouble .', 'People should find right decisions when in trouble .'"
Which of the following is TRUE according to the text ?,The author had no money to pay the garage keeper for the repair .,"'The writer had no money to pay the garage keeper for the repair .', 'The author has no money to pay the garage keeper for the repair .'"
What is the article mainly about ?,People 's obsession with taking pictures and its influence .,"'citizenry 's obsession with taking pictures and its influence .', 'People 's obsession with handing pictures and its influence .'"
Which of the following is True according to the story ?,What the daughter did these days worried her mother .,"'What the niece did these days worried her mother .', 'What the daughter does these days worried her mother .'"
"According to the passage , the name "" Mo Yan ""","might remind him "" not to speak his mind "" in public places","'might reimagination him "" not to speak his imagination "" in public places', 'might annoy him "" not to speak his mind "" in public places'"
Who rowed Maggie to land safely ?,Old Dan 's sons .,"'erstwhile Dan 's sons .', 'Old Dan 's sons .'"
The researchers did the study mainly by means of,collecting receipts from stores,"'collecting payments from stores', 'selling receipts from stores'"
"According to the passage , Professor Storey thinks it helpful for children",to drink more milk,"'to drink more sugar', 'to relish more milk'"
"According to the passage , the following lifestyle is good for our health EXCEPT",sleeping for more than twelve hours,"'sleeping for more than fourteen hours', 'laughing for more than twelve hours'"
It is clear that,the man got tens of thousands of dollars,"'the girl got tens of thousands of dollars', 'the man gotten tens of thousands of dollars'"
Which of the following is true according to the text ?,Hooke 's book Micrographia may have helped Newton .,"'Hooke 's chapbook Micrographia may have helped Newton .', 'Hooke 's book Micrographia may 've helped Newton .'"
We can learn from the text that,it is important to have a good teacherstudent relationship,"'it is important to have a good teacherstudent portrayal', 'it was important to have a good teacherstudent relationship'"
What can we learn about Susie 's first piano lesson ?,She did not play the piano .,"'She did not play the cello .', 'She does not play the piano .'"
"In the near future , all housework will be done",with little or no human effort,"'with little or no human intention', 'with little or no human effort'"
You can notice your mistakes by,saying things out aloud,"'saying eyeballs out aloud', 'stating things out aloud'"
"According to the passage , blue is rarely used in food packaging because",it matches very few foods,"'it matches very few teas', 'it appearances very few foods'"
The author picked up the telephone for the first time to,find someone to give him sympathy,"'find anyone to give him sympathy', 'give someone to give him sympathy'"
What 's the best title of the passage ?,An Argument Over Salt and Health .,"'An controversy Over Salt and Health .', 'An Argument Over Salt and Health .'"
What is Environment California ?,An environmental organization .,"'An environmental organisation .', 'An environmental organization .'"
What is the text mainly about ?,It describes changed behavior when observed .,"'It describes changed behaviour when observed .', 'It discusses changed behavior when observed .'"
"From the passage , we know",not all the dinosaurs fed on meat,"'not all the birds fed on meat', 'not all the dinosaurs permitted on meat'"
